crse_id,"subject","catalog_nbr","course_title_long","descrlong",units_minimum,units_maximum,crse_offer_nbr,term
2833,"SBS"," 362","Rsrch Mthd for SBS: Qual Emph","This course presents various research methods, primarily qualitative and some quantitative methods. It explores different paradigms and appropriate methodologies. It allows students to engage in the whole research process of research design, data collection and data analyses in the social sciences. Students learn how to make professional presentations of findings.

(Coreq: 362L)",3,3,1,2164
5346,"SW"," 597","Independent Study","Student and faculty member select topic of study and number of credits. (Offered as interest warrants.)",1,6,1,2164
4621,"MATH"," 375","Numerical Analysis for Mathematics and Statistics","Methods of numerical approximation of the value of functions, polynomials, systems of equations and integrals using a programming language such as R, C++ or  Mathematica.  Topics may include accuracy of approximate calculations, root finding methods, interpolation, numerical differentiation and integration, numerical solutions to ordinary differential equations, regression, optimization and Monte Carlo methods.

(Prereq: MATH 151 and CST 231)",4,4,1,2164
5310,"HOSP"," 481","Sustainable Event Management","Involves an in-depth investigation of the unique challenges and opportunities faced by business managers in the event management industry from a sustainable perspective. Relevant business theories are applied to topics, including reducing the carbon footprint of the event, selection of venues, transportation, and vendors. Field intensive course requiring multiple field trips. (Sections may be offered as classroom",4,4,1,2164
5020,"KIN"," 346","Psychology of Sport and Physical Activity","This course is devoted to understanding the psychological aspects of sport and physical activity.  The course will include aspects of the core psychological research, application of psychological principles to sport and exercise settings, and social influences on psychological processes.  Emphasis is placed on the comprehension and application of theoretical concepts addressing the interaction of individual characteristics and environmental factors in sport and physical activity.",3,3,1,2164
5254,"CART"," 318","Introduction to Animation","This course offers an introduction to the techniques, history and cultural significance of animation. Students will explore, demonstrate, and apply basic skills in traditional (cell/stop motion) and digital animation techniques. The course also covers basic pre-production, production and distribution skills, as well as collaborative projects. Incoming students are expected to be comfortable with drawing, working in groups, and  to be familiar with basic digital media tools.  (Credit/ No Credit Available)",4,4,1,2164
4924,"MATH"," 395","Special Topics","Studies a particular topic in Mathematics. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Credit/No Credit Available)",1,6,1,2164
2808,"SBS"," 320S","Hispanic Calif - 1542 to 1848","Explores the art and architecture of the Spanish missions of California and the US Southwest from 1542 to 1848. Draws on firsthand accounts, primary documents, historic site visits to area missions, presidios, and adobes, and oral histories to explore indigenous and Hispanic communities of California and the Southwest. Emphasis on the art and architecture of the missions. Considers consequences of secularization and decline of the California missions the reduction of indigenous populations.",4,4,1,2164
1970,"KIN"," 116","Adaptive Sports: Aquatics","Instructs on adapting Physical Activity for each individual's unique needs through the use of the pool to enhance one's overall health and well-being. Course content decided upon between instructor and student. Designed especially for individuals with permanent or temporary disability. Credit/no credit. (Offered as needed)",1,1,1,2164
278,"BUS"," 699","Graduate Capstone","A capstone contributes to the disciplines or the professions by adding to technical/professional knowledge or by providing an original application of technical/professional knowledge in both management and information technology disciplines. Examples include a field study, a project, applied research, or a professional article of publishable quality. Students also master basic principles of strategic planning, including stakeholder management. Cross-listed as CST 699. (Offered Spring semester.)",4,4,1,2164
4778,"GEOL"," 395IP","International Programs","",1,12,1,2164
5394,"MSCI"," 585","Marine Biogeography of California","Collection and analysis of data on fishes and invertebrates from across CA. Focuses on biogeographical patterns of the subtidal zone. This course requires field trips on weekends and dates when classes are not normally in session. Dive sites may be located inside many of CA's marine protected areas. A final project combines data collected by each student into a single, comprehensive analysis. Course fee may be required.",5,5,1,2164
2574,"MPA"," 396","Field Studies","Individualizes student placement for field study as related to Music & Performing Arts.  Offered as interest warrants.",1,6,1,2164
5244,"SPED"," 577B","Final Semester Practicum: Moderate to Severe","This field experience course is required for all candidates in the Preliminary Moderate to Severe Credential Program during their final semester. This field experience requirement, along with the SPED 577 seminar, provides practical field experience opportunities teaching students with moderate/severe disabilities in K-12 public and non-public school settings.  Additionally, students begin to plan for their professional clear credential. Offered fall and spring.

(Coreq: SPED 577)",8,12,1,2164
1490,"HCOM"," 406","Philosophy According to Movies","Introduces classical philosophical questions, such as the nature of good and evil, reality, and efforts to understanding self and community, through stories and film.  Visual media integrate with classical and contemporary readings in philosophy enabling students to learn about the problems, methods and insights in philosophical analysis.

[Prereq: (Junior or Senior Standing) and (GE Areas A1 and A2 and A3)]",4,4,1,2164
5289,"GS"," 351","Global Econ: Theory & Ethics","This intermediate-level course covers two components: 1. the fundamental principles of neoclassical micro and macro economics; 2. the global, gender and inter-disciplinary perspectives to examine the values and critique the assumptions of neoclassical framework. Focusing on ethical implications, we examine real-life applications, case studies and responses from feminist, Global South, informal economy, environmentalist, and other alternative perspectives.",4,4,1,2164
3514,"CART"," 201","Ottermedia","Ottermedia:  Students create and host web and cable-casted programs meant to enrich the CSUMB community and the world.",1,1,1,2164
4586,"CST"," 113","Digital Otter C: ePresentations","Introduces presentation techniques that optimize the use of current and emerging utilities, platforms and media for effective and engaging presentations. Students will focus on design principles and best practices for creating and developing functional presentations for both face-to-face and online audiences.  (Letter Grade Available)",1,1,1,2164
